Date,High,Low,Open,Close,Volume,Adj Close
2020-06-01,575.4000244140625,549.0,569.2000122070312,572.4000244140625,937600.0,571.9680786132812
2020-06-02,590.7999877929688,555.7999877929688,575.0,590.2000122070312,1333688.0,589.754638671875
2020-06-03,607.0,571.0,594.0,600.5999755859375,1175073.0,600.1467895507812
2020-06-04,606.0,581.2000122070312,601.0,591.0,1199358.0,590.5540161132812
2020-06-05,594.0,583.2000122070312,592.5999755859375,593.2000122070312,644533.0,592.7523803710938
2020-06-08,591.5999755859375,574.0,589.5999755859375,577.0,582029.0,576.5645751953125
2020-06-09,578.4000244140625,558.2000122070312,572.0,565.2000122070312,969462.0,564.7734985351562
2020-06-10,576.2000122070312,558.5999755859375,565.2000122070312,572.4000244140625,680459.0,571.9680786132812
2020-06-11,578.2000122070312,554.4000244140625,567.0,562.4000244140625,790707.0,561.9756469726562
2020-06-12,557.5999755859375,539.2000122070312,553.4000244140625,541.5999755859375,1091859.0,541.1912841796875
2020-06-15,551.2000122070312,531.5999755859375,533.7999877929688,545.0,750935.0,544.5887451171875
2020-06-16,565.2000122070312,550.4000244140625,550.4000244140625,555.0,565596.0,554.5811767578125
2020-06-17,561.0,547.2000122070312,558.0,556.5999755859375,558820.0,556.1799926757812
2020-06-18,589.2000122070312,556.5999755859375,556.5999755859375,588.4000244140625,1090187.0,588.4000244140625
2020-06-22,602.2000122070312,578.5999755859375,588.0,597.7999877929688,585150.0,597.7999877929688
2020-06-23,613.0,597.4000244140625,600.2000122070312,612.0,609259.0,612.0
2020-06-24,619.0,546.2000122070312,614.0,576.0,4846644.0,576.0
2020-06-25,581.2000122070312,562.5999755859375,576.0,565.5999755859375,1668313.0,565.5999755859375
2020-06-26,582.2000122070312,560.5999755859375,567.0,577.5999755859375,1293580.0,577.5999755859375
2020-06-29,579.5999755859375,553.5999755859375,577.5999755859375,559.5999755859375,1046856.0,559.5999755859375
